transectID,start[m],end[m],CLASS
103,0,52,VEGETATED_DUNES
103,52,95,BEACH_DRY
103,95,120,BEACH_WET
103,120,300,WATER
196,0,52,VEGETATED_DUNES
196,52,100,BEACH_DRY
196,100,122,BEACH_WET
196,122,200,WATER
462,0,53,VEGETATED_DUNES
462,53,93,BEACH_DRY
462,93,125,BEACH_WET
462,125,300,WATER
586,0,49.5,VEGETATED_DUNES
586,49.5,90,BEACH_DRY
586,90,122,BEACH_WET
586,122,300,WATER
664,0,50,VEGETATED_DUNES
664,50,100,BEACH_DRY
664,100,130,BEACH_WET
664,130,300,WATER
872,0,62,VEGETATED_DUNES
872,62,101,BEACH_DRY
872,101,120,BEACH_WET
872,120,300,WATER
947,0,64,VEGETATED_DUNES
947,64,100,BEACH_DRY
947,100,119,BEACH_WET
947,119,300,WATER
962,0,62,VEGETATED_DUNES
962,62,95,BEACH_DRY
962,95,121,BEACH_WET
962,121,300,WATER
1455,0,60,VEGETATED_DUNES
1455,60,110,BEACH_DRY
1455,110,130,BEACH_WET
1455,130,300,WATER
2106,0,52,VEGETATED_DUNES
2106,52,217,BEACH_DRY
2106,217,222,BEACH_WET
2106,222,300,WATER
