transectID,start[m],end[m],CLASS
100,0,50.5,VEGETATED_DUNES
100,50.5,100,BEACH_DRY
100,100,125,BEACH_WET
100,125,300,WATER
378,0,51,VEGETATED_DUNES
378,51,101,BEACH_DRY
378,101,130,BEACH_WET
378,130,300,WATER
663,0,47,VEGETATED_DUNES
663,47,100,BEACH_DRY
663,100,120,BEACH_WET
663,120,300,WATER
932,0,62,VEGETATED_DUNES
932,62,102,BEACH_DRY
932,102,110,BEACH_WET
932,110,300,WATER
1075,0,60,VEGETATED_DUNES
1075,60,100,BEACH_DRY
1075,100,115,BEACH_WET
1075,115,300,WATER
1138,0,50,VEGETATED_DUNES
1138,50,100,BEACH_DRY
1138,100,110,BEACH_WET
1138,110,300,WATER
1220,0,50,VEGETATED_DUNES
1220,50,95,BEACH_DRY
1220,95,125,BEACH_WET
1220,125,300,WATER
1515,0,57,VEGETATED_DUNES
1515,57,110,BEACH_DRY
1515,110,140,BEACH_WET
1515,140,300,WATER
1778,0,68,VEGETATED_DUNES
1778,68,110,BEACH_DRY
1778,110,120,BEACH_WET
1778,120,300,WATER
2077,0,70,VEGETATED_DUNES
2077,70,125,BEACH_DRY
2077,125,138,BEACH_WET
2077,138,300,WATER
