transect_id,boundary_position,detected,uniform_w3_max_deriv,gaussian_max_deriv,savgol_max_deriv,median_max_deriv
100,50.5,False,20.0,9.5,24.999999999999986,19.0
378,51.0,False,12.5,8.5,14.771428571428572,14.0
663,47.0,False,24.5,11.5,35.342857142857135,22.0
932,62.0,True,29.5,18.5,35.89999999999998,29.5
1075,60.0,True,28.5,16.5,33.12857142857142,34.5
1138,50.0,False,22.0,13.5,25.99999999999997,27.5
1220,50.0,False,25.5,14.5,31.58571428571429,30.5
1515,57.0,False,27.0,14.5,33.34285714285713,33.0
1778,68.0,False,16.0,9.5,22.099999999999994,16.0
2077,70.0,False,9.0,4.0,11.585714285714275,5.5
