boundary_type,window_size,detected_max_deriv,missed_max_deriv,ratio
VEGETATED_DUNE_to_BEACH_DRY,1,1567502.314654543,119671806.2165041,0.013098342577187297
VEGETATED_DUNE_to_BEACH_DRY,3,756456.3421271793,43613724.93232106,0.01734445620733
VEGETATED_DUNE_to_BEACH_DRY,5,252672.0157618015,22976986.793571185,0.010996742872851262
VEGETATED_DUNE_to_BEACH_DRY,7,411093.358528393,14588563.043549346,0.0281791535808708
VEGETATED_DUNE_to_BEACH_DRY,9,293744.21590929804,9928327.626847802,0.029586474877699064
VEGETATED_DUNE_to_BEACH_DRY,11,293507.8969683817,14360616.745995559,0.02043839078500762
BEACH_DRY_to_BEACH_WET,1,13210499.867550382,19953998.91226303,0.6620477391843332
BEACH_DRY_to_BEACH_WET,3,2671775.6813699137,1587256.9137170059,1.6832660537059523
BEACH_DRY_to_BEACH_WET,5,5434782.727677079,4988499.728087373,1.0894623682300597
BEACH_DRY_to_BEACH_WET,7,1005412.0198705564,1878785.6118538268,0.5351393014333875
BEACH_DRY_to_BEACH_WET,9,2845549.7095355894,881805.5075202417,3.2269584225411183
BEACH_DRY_to_BEACH_WET,11,781983.1262546517,2081977.159245532,0.37559640017281803
BEACH_WET_to_WATER,1,9652647.46868487,204240010.60348666,0.047261295375785134
BEACH_WET_to_WATER,3,2002780.5228413576,29253126.5187199,0.06846381092153421
BEACH_WET_to_WATER,5,1950228.7742395997,29359501.524260774,0.06642581355231995
BEACH_WET_to_WATER,7,1350807.8091042396,4786875.2485206425,0.2821898919387338
BEACH_WET_to_WATER,9,711370.1310638677,15247084.124918595,0.046656142593275406
BEACH_WET_to_WATER,11,859604.9693625886,11169375.579874454,0.07696087961367047
